number,name,type,height,weight,ThumbnailImage
040,Wigglytuff,"['normal', 'fairy']",39.0,26.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/040.png
041,Zubat,"['poison', 'flying']",31.0,16.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/041.png
042,Golbat,"['poison', 'flying']",63.0,121.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/042.png
043,Oddish,"['grass', 'poison']",20.0,11.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/043.png
044,Gloom,"['grass', 'poison']",31.0,19.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/044.png
045,Vileplume,"['grass', 'poison']",47.0,41.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/045.png
046,Paras,"['bug', 'grass']",12.0,11.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/046.png
047,Parasect,"['bug', 'grass']",39.0,65.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/047.png
048,Venonat,"['bug', 'poison']",39.0,66.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/048.png
049,Venomoth,"['bug', 'poison']",59.0,27.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/049.png
050,Diglett,"['ground', 'steel']",8.0,2.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png
050,Diglett,['ground'],8.0,1.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/050.png
051,Dugtrio,"['ground', 'steel']",28.0,146.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png
051,Dugtrio,['ground'],28.0,73.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/051.png
052,Meowth,['dark'],16.0,9.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png
052,Meowth,['normal'],16.0,9.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/052.png
053,Persian,['dark'],43.0,72.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png
053,Persian,['normal'],39.0,70.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/053.png
054,Psyduck,['water'],31.0,43.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/054.png
055,Golduck,['water'],67.0,168.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/055.png
056,Mankey,['fighting'],20.0,61.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/056.png
057,Primeape,['fighting'],39.0,70.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/057.png
058,Growlithe,['fire'],28.0,41.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/058.png
059,Arcanine,['fire'],75.0,341.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/059.png
060,Poliwag,['water'],24.0,27.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/060.png
061,Poliwhirl,['water'],39.0,44.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/061.png
062,Poliwrath,"['water', 'fighting']",51.0,119.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/062.png
063,Abra,['psychic'],35.0,43.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/063.png
064,Kadabra,['psychic'],51.0,124.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/064.png
065,Alakazam,['psychic'],47.0,105.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png
065,Alakazam,['psychic'],59.0,105.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/065.png
066,Machop,['fighting'],31.0,43.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/066.png
067,Machoke,['fighting'],59.0,155.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/067.png
068,Machamp,['fighting'],63.0,286.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/068.png
069,Bellsprout,"['grass', 'poison']",28.0,8.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/069.png
070,Weepinbell,"['grass', 'poison']",39.0,14.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/070.png
071,Victreebel,"['grass', 'poison']",67.0,34.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/071.png
072,Tentacool,"['water', 'poison']",35.0,100.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/072.png
073,Tentacruel,"['water', 'poison']",63.0,121.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/073.png
074,Geodude,"['rock', 'electric']",16.0,44.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png
074,Geodude,"['rock', 'ground']",16.0,44.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/074.png
075,Graveler,"['rock', 'electric']",39.0,242.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png
075,Graveler,"['rock', 'ground']",39.0,231.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/075.png
076,Golem,"['rock', 'electric']",67.0,696.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png
076,Golem,"['rock', 'ground']",55.0,661.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/076.png
077,Ponyta,['fire'],39.0,66.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/077.png
078,Rapidash,['fire'],67.0,209.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/078.png
079,Slowpoke,"['water', 'psychic']",47.0,79.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/079.png
080,Slowbro,"['water', 'psychic']",79.0,264.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png
080,Slowbro,"['water', 'psychic']",63.0,173.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/080.png
081,Magnemite,"['electric', 'steel']",12.0,13.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/081.png
082,Magneton,"['electric', 'steel']",39.0,132.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/082.png
083,Farfetch'd,"['normal', 'flying']",31.0,33.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/083.png
084,Doduo,"['normal', 'flying']",55.0,86.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/084.png
085,Dodrio,"['normal', 'flying']",71.0,187.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/085.png
086,Seel,['water'],43.0,198.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/086.png
087,Dewgong,"['water', 'ice']",67.0,264.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/087.png
088,Grimer,"['poison', 'dark']",28.0,92.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png
088,Grimer,['poison'],35.0,66.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/088.png
089,Muk,"['poison', 'dark']",39.0,114.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png
089,Muk,['poison'],47.0,66.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/089.png
090,Shellder,['water'],12.0,8.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/090.png
091,Cloyster,"['water', 'ice']",59.0,292.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/091.png
092,Gastly,"['ghost', 'poison']",51.0,0.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/092.png
093,Haunter,"['ghost', 'poison']",63.0,0.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/093.png
094,Gengar,"['ghost', 'poison']",55.0,89.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png
094,Gengar,"['ghost', 'poison']",59.0,89.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/094.png
095,Onix,"['rock', 'ground']",346.0,463.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/095.png
096,Drowzee,['psychic'],39.0,71.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/096.png
097,Hypno,['psychic'],63.0,166.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/097.png
098,Krabby,['water'],16.0,14.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/098.png
099,Kingler,['water'],51.0,132.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/099.png
100,Voltorb,['electric'],20.0,22.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/100.png
101,Electrode,['electric'],47.0,146.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/101.png
102,Exeggcute,"['grass', 'psychic']",16.0,5.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/102.png
103,Exeggutor,"['grass', 'dragon']",429.0,916.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png
103,Exeggutor,"['grass', 'psychic']",79.0,264.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/103.png
104,Cubone,['ground'],16.0,14.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/104.png
105,Marowak,"['fire', 'ghost']",39.0,75.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png
105,Marowak,['ground'],39.0,99.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/105.png
106,Hitmonlee,['fighting'],59.0,109.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/106.png
107,Hitmonchan,['fighting'],55.0,110.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/107.png
108,Lickitung,['normal'],47.0,144.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/108.png
109,Koffing,['poison'],24.0,2.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/109.png
110,Weezing,['poison'],47.0,20.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/110.png
111,Rhyhorn,"['ground', 'rock']",39.0,253.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/111.png
112,Rhydon,"['ground', 'rock']",75.0,264.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/112.png
113,Chansey,['normal'],43.0,76.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/113.png
114,Tangela,['grass'],39.0,77.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/114.png
115,Kangaskhan,['normal'],87.0,220.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png
115,Kangaskhan,['normal'],87.0,176.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/115.png
116,Horsea,['water'],16.0,17.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/116.png
117,Seadra,['water'],47.0,55.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/117.png
118,Goldeen,['water'],24.0,33.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/118.png
119,Seaking,['water'],51.0,86.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/119.png
120,Staryu,['water'],31.0,76.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/120.png
121,Starmie,"['water', 'psychic']",43.0,176.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/121.png
122,Mr. Mime,"['psychic', 'fairy']",51.0,120.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/122.png
123,Scyther,"['bug', 'flying']",59.0,123.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/123.png
124,Jynx,"['ice', 'psychic']",55.0,89.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/124.png
125,Electabuzz,['electric'],43.0,66.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/125.png
126,Magmar,['fire'],51.0,98.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/126.png
127,Pinsir,"['bug', 'flying']",67.0,130.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png
127,Pinsir,['bug'],59.0,121.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/127.png
128,Tauros,['normal'],55.0,194.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/128.png
129,Magikarp,['water'],35.0,22.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/129.png
130,Gyarados,"['water', 'dark']",256.0,672.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png
130,Gyarados,"['water', 'flying']",256.0,518.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/130.png
131,Lapras,"['water', 'ice']",98.0,485.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/131.png
132,Ditto,['normal'],12.0,8.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/132.png
133,Eevee,['normal'],12.0,14.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/133.png
134,Vaporeon,['water'],39.0,63.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/134.png
135,Jolteon,['electric'],31.0,54.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/135.png
136,Flareon,['fire'],35.0,55.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/136.png
137,Porygon,['normal'],31.0,80.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/137.png
138,Omanyte,"['rock', 'water']",16.0,16.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/138.png
139,Omastar,"['rock', 'water']",39.0,77.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/139.png
140,Kabuto,"['rock', 'water']",20.0,25.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/140.png
141,Kabutops,"['rock', 'water']",51.0,89.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/141.png
142,Aerodactyl,"['rock', 'flying']",83.0,174.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png
142,Aerodactyl,"['rock', 'flying']",71.0,130.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/142.png
143,Snorlax,['normal'],83.0,1014.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/143.png
144,Articuno,"['ice', 'flying']",67.0,122.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/144.png
145,Zapdos,"['electric', 'flying']",63.0,116.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/145.png
146,Moltres,"['fire', 'flying']",79.0,132.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/146.png
147,Dratini,['dragon'],71.0,7.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/147.png
148,Dragonair,['dragon'],157.0,36.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/148.png
149,Dragonite,"['dragon', 'flying']",87.0,463.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/149.png
150,Mewtwo,['psychic'],59.0,72.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/150.png
150,Mewtwo,"['psychic', 'fighting']",91.0,280.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/150.png
150,Mewtwo,['psychic'],79.0,269.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/150.png
151,Mew,['psychic'],16.0,8.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/151.png
152,Chikorita,['grass'],35.0,14.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/152.png
153,Bayleef,['grass'],47.0,34.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/153.png
154,Meganium,['grass'],71.0,221.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/154.png
155,Cyndaquil,['fire'],20.0,17.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/155.png
156,Quilava,['fire'],35.0,41.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/156.png
157,Typhlosion,['fire'],67.0,175.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/157.png
158,Totodile,['water'],24.0,20.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/158.png
159,Croconaw,['water'],43.0,55.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/159.png
160,Feraligatr,['water'],91.0,195.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/160.png
161,Sentret,['normal'],31.0,13.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/161.png
162,Furret,['normal'],71.0,71.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/162.png
163,Hoothoot,"['normal', 'flying']",28.0,46.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/163.png
164,Noctowl,"['normal', 'flying']",63.0,89.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/164.png
165,Ledyba,"['bug', 'flying']",39.0,23.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/165.png
166,Ledian,"['bug', 'flying']",55.0,78.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/166.png
167,Spinarak,"['bug', 'poison']",20.0,18.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/167.png
168,Ariados,"['bug', 'poison']",43.0,73.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/168.png
169,Crobat,"['poison', 'flying']",71.0,165.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/169.png
170,Chinchou,"['water', 'electric']",20.0,26.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/170.png
171,Lanturn,"['water', 'electric']",47.0,49.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/171.png
172,Pichu,['electric'],12.0,4.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/172.png
173,Cleffa,['fairy'],12.0,6.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/173.png
174,Igglybuff,"['normal', 'fairy']",12.0,2.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/174.png
175,Togepi,['fairy'],12.0,3.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/175.png
176,Togetic,"['fairy', 'flying']",24.0,7.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/176.png
177,Natu,"['psychic', 'flying']",8.0,4.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/177.png
178,Xatu,"['psychic', 'flying']",59.0,33.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/178.png
179,Mareep,['electric'],24.0,17.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/179.png
180,Flaaffy,['electric'],31.0,29.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/180.png
181,Ampharos,"['electric', 'dragon']",55.0,135.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/181.png
181,Ampharos,['electric'],55.0,135.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/181.png
182,Bellossom,['grass'],16.0,12.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/182.png
183,Marill,"['water', 'fairy']",16.0,18.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/183.png
184,Azumarill,"['water', 'fairy']",31.0,62.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/184.png
185,Sudowoodo,['rock'],47.0,83.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/185.png
186,Politoed,['water'],43.0,74.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/186.png
187,Hoppip,"['grass', 'flying']",16.0,1.1,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/187.png
188,Skiploom,"['grass', 'flying']",24.0,2.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/188.png
189,Jumpluff,"['grass', 'flying']",31.0,6.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/189.png
190,Aipom,['normal'],31.0,25.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/190.png
191,Sunkern,['grass'],12.0,4.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/191.png
192,Sunflora,['grass'],31.0,18.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/192.png
193,Yanma,"['bug', 'flying']",47.0,83.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/193.png
194,Wooper,"['water', 'ground']",16.0,18.7,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/194.png
195,Quagsire,"['water', 'ground']",55.0,165.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/195.png
196,Espeon,['psychic'],35.0,58.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/196.png
197,Umbreon,['dark'],39.0,59.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/197.png
198,Murkrow,"['dark', 'flying']",20.0,4.6,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/198.png
199,Slowking,"['water', 'psychic']",79.0,175.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/199.png
200,Misdreavus,['ghost'],28.0,2.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/200.png
201,Unown,['psychic'],20.0,11.0,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/201.png
202,Wobbuffet,['psychic'],51.0,62.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/202.png
203,Girafarig,"['normal', 'psychic']",59.0,91.5,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/203.png
204,Pineco,['bug'],24.0,15.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/204.png
205,Forretress,"['bug', 'steel']",47.0,277.3,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/205.png
206,Dunsparce,['normal'],59.0,30.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/206.png
207,Gligar,"['ground', 'flying']",43.0,142.9,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/207.png
208,Steelix,"['steel', 'ground']",413.0,1631.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/208.png
208,Steelix,"['steel', 'ground']",362.0,881.8,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/208.png
209,Snubbull,['fairy'],24.0,17.2,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/209.png
210,Granbull,['fairy'],55.0,107.4,https://assets.pokemon.com/assets/cms2/img/pokedex/detail/210.png
